Country,Reported_Days,Expected_Days,Completeness_%
Ireland,1143,1143,100.0
Israel,1143,1143,100.0
Italy,1143,1143,100.0
Jamaica,1143,1143,100.0
Japan,1143,1143,100.0
Jordan,1143,1143,100.0
Kazakhstan,1143,1143,100.0
Kenya,1143,1143,100.0
Kiribati,1143,1143,100.0
"Korea, North",1143,1143,100.0
"Korea, South",1143,1143,100.0
Kosovo,1143,1143,100.0
Kuwait,1143,1143,100.0
Kyrgyzstan,1143,1143,100.0
Laos,1143,1143,100.0
Latvia,1143,1143,100.0
Lebanon,1143,1143,100.0
Lesotho,1143,1143,100.0
Liberia,1143,1143,100.0
Libya,1143,1143,100.0
Liechtenstein,1143,1143,100.0
Lithuania,1143,1143,100.0
Luxembourg,1143,1143,100.0
MS Zaandam,1143,1143,100.0
Madagascar,1143,1143,100.0
Malawi,1143,1143,100.0
Malaysia,1143,1143,100.0
Maldives,1143,1143,100.0
Mali,1143,1143,100.0
Malta,1143,1143,100.0
Marshall Islands,1143,1143,100.0
Mauritania,1143,1143,100.0
Mauritius,1143,1143,100.0
Mexico,1143,1143,100.0
Micronesia,1143,1143,100.0
Moldova,1143,1143,100.0
Monaco,1143,1143,100.0
Mongolia,1143,1143,100.0
Montenegro,1143,1143,100.0
Morocco,1143,1143,100.0
Mozambique,1143,1143,100.0
Namibia,1143,1143,100.0
Nauru,1143,1143,100.0
Nepal,1143,1143,100.0
Netherlands,1143,1143,100.0
New Zealand,1143,1143,100.0
Nicaragua,1143,1143,100.0
Niger,1143,1143,100.0
Nigeria,1143,1143,100.0
North Macedonia,1143,1143,100.0
Norway,1143,1143,100.0
Oman,1143,1143,100.0
Pakistan,1143,1143,100.0
Palau,1143,1143,100.0
Panama,1143,1143,100.0
Papua New Guinea,1143,1143,100.0
Paraguay,1143,1143,100.0
Peru,1143,1143,100.0
Philippines,1143,1143,100.0
Poland,1143,1143,100.0
Portugal,1143,1143,100.0
Qatar,1143,1143,100.0
Romania,1143,1143,100.0
Russia,1143,1143,100.0
Rwanda,1143,1143,100.0
Saint Kitts and Nevis,1143,1143,100.0
Saint Lucia,1143,1143,100.0
Saint Vincent and the Grenadines,1143,1143,100.0
Samoa,1143,1143,100.0
San Marino,1143,1143,100.0
Sao Tome and Principe,1143,1143,100.0
Saudi Arabia,1143,1143,100.0
Senegal,1143,1143,100.0
Serbia,1143,1143,100.0
Seychelles,1143,1143,100.0
Sierra Leone,1143,1143,100.0
Singapore,1143,1143,100.0
Slovakia,1143,1143,100.0
Slovenia,1143,1143,100.0
Solomon Islands,1143,1143,100.0
Somalia,1143,1143,100.0
South Africa,1143,1143,100.0
South Sudan,1143,1143,100.0
Spain,1143,1143,100.0
Sri Lanka,1143,1143,100.0
Sudan,1143,1143,100.0
Summer Olympics 2020,1143,1143,100.0
Suriname,1143,1143,100.0
Sweden,1143,1143,100.0
Switzerland,1143,1143,100.0
Syria,1143,1143,100.0
Taiwan*,1143,1143,100.0
Tajikistan,1143,1143,100.0
Tanzania,1143,1143,100.0
Thailand,1143,1143,100.0
Timor-Leste,1143,1143,100.0
Togo,1143,1143,100.0
Tonga,1143,1143,100.0
Trinidad and Tobago,1143,1143,100.0
Tunisia,1143,1143,100.0
Turkey,1143,1143,100.0
Tuvalu,1143,1143,100.0
US,1143,1143,100.0
Uganda,1143,1143,100.0
Ukraine,1143,1143,100.0
United Arab Emirates,1143,1143,100.0
United Kingdom,1143,1143,100.0
Uruguay,1143,1143,100.0
Uzbekistan,1143,1143,100.0
Vanuatu,1143,1143,100.0
Venezuela,1143,1143,100.0
Vietnam,1143,1143,100.0
West Bank and Gaza,1143,1143,100.0
Winter Olympics 2022,1143,1143,100.0
Yemen,1143,1143,100.0
Zambia,1143,1143,100.0
Zimbabwe,1143,1143,100.0
